signal_id,campaign_phase,is_anomalous,exit_code,duration,median_rms,sample_rate,rms,mean,std_dev,crest_factor,peak_to_peak,entropy,peak_count,kurtosis,skewness,zcr,energy_low,energy_mid,energy_high,peak_freq,peak_magnitude,spectral_entropy,spectral_crest,harmonic_distortion,spectral_flatness,spectral_rolloff,hnr,harmonic_1_freq,harmonic_1_mag,harmonic_2_freq,harmonic_2_mag,harmonic_3_freq,harmonic_3_mag,harmonic_4_freq,harmonic_4_mag
455,operation,True,1,0.2323904037475586,0.004803979411295612,10000000000,0.0048411373813093,6.070289525797895e-05,0.004840756790339457,4.390286514499161,0.0423419136,-6770.34573299389,28411,1.385120569409323,-0.241671902709444,400858396.5664137,2874879.569219905,47278.70158677835,7830.11953515524,41659833.36066656,52.04206561329472,2.708251190019484,2201.628195881332,0.6986873387366932,0.337574313760514,855576577.6936892,-38.115628537365886,83319666.72133312,28.57983326446114,124979500.08199967,21.372179485720384,166639333.44266623,6.043268350452607,208299166.80333278,3.4689949925303605
456,operation,True,28,0.2320239543914795,0.004799276767870352,10000000000,0.004815906342209536,0.00019680439735869073,0.004811883407369125,4.413287686622386,0.0423419136,-6780.55644100935,28672,1.3844321262646337,-0.23391777027492533,408838364.6465414,2847613.0587968943,48503.314976533205,7796.98047547712,42199831.2006752,52.864516244112835,2.3054914642832567,-72343.90152875657,0.7245338443887888,0.338189528746044,855556577.7736889,-37.62859951922116,84399662.4013504,26.26708866630626,126599493.60202558,13.44000068759819,168799324.8027008,17.171465869264967,210999156.00337598,17.366647569744067
457,operation,True,1,0.23456740379333496,0.004774117492458778,10000000000,0.004783802811287983,0.00013043643098035608,0.0047820242235647355,4.4429047346702015,0.0423419136,-6795.1087572983315,27996,1.3610528423264467,-0.234315498642587,407538369.8465206,2809563.157443748,45229.02547607547,7879.327556176354,44919820.32071871,51.70509622093718,2.5428888242439216,2360.1019143757358,0.5083953417633204,0.34079570323787506,861236555.0537797,-40.84346592868318,89839640.64143743,16.28719551879277,134759460.96215615,14.532982034793264,179679281.28287485,8.969389315680091,224599101.6035936,11.578284447281648
458,operation,True,1,0.23283600807189941,0.004880012815102058,10000000000,0.004836487107007438,0.00014772115082867671,0.004834230652114876,4.394507767674137,0.0423419136,-6774.611300319948,28305,1.3427868616343783,-0.21895063722439584,398258406.96637213,2872321.955842448,46436.639702551336,7872.221034052635,44519821.920712315,51.675698490059844,2.5980698247584426,2502.684920516865,0.7107321457690225,0.3384977154994796,856856572.5737097,-38.01168847775348,89039643.84142463,25.34255907521954,133559465.76213695,21.769553455797844,178079287.68284926,10.644587956263965,222599109.60356158,10.929278431683713
459,operation,True,1,0.23340964317321777,0.0048358959333343905,10000000000,0.00482153231736403,0.0001239943784754461,0.004819937684399274,4.4081380691895315,0.0423419136,-6777.962418831963,28202,1.3613994572340138,-0.22347525749527533,401698393.2064272,2853497.3774285377,46559.00583389378,7715.231039266555,41919832.32067072,52.76564451473979,2.488060287272433,9201.603107340252,0.7503562355597114,0.33927308037589093,857656569.3737226,-37.33524221082085,83839664.64134143,26.589320927052846,125759496.96201216,21.347267505753784,167679329.28268287,12.225373283199591,209599161.6033536,15.982818456922384
45,operation,True,1,0.2344663143157959,0.0048156994814668695,10000000000,0.004820052141606457,0.0001574925331259475,0.004817478463866192,4.40949175145569,0.0423419136,-6781.202090464124,28299,1.3897548549904357,-0.21653515641710624,404358382.5664698,2851863.881273794,47449.42183687919,7852.233936157292,41259834.96066016,50.978454096982276,2.6370686106578134,830.9525421416448,0.6034502596067983,0.338805316948988,856496574.013704,-39.54067975708541,82519669.92132032,23.169051774001446,123779504.88198046,7.49124570263046,165039339.84264064,10.364517457623379,206299174.8033008,15.684796688937697
460,operation,True,1,0.23135018348693848,0.004726794316556676,10000000000,0.004774165917652816,8.901608539169848e-05,0.004773335976633039,4.451872960973541,0.0423419136,-6790.889615845793,29037,1.429649184346376,-0.21988969204555864,412938348.246607,2791798.841945132,50480.67310991145,7746.968739571212,43279826.880692475,51.87356709952169,2.48551217216851,876.5420690022554,0.5845590861524129,0.3395732731830164,855336578.6536853,-39.59685677610848,86559653.76138495,19.57204460983879,129839480.64207743,17.262146710579668,173119307.5227699,13.498650074023901,216399134.40346238,7.49894267650126
461,operation,True,1,0.2325122356414795,0.004865539138108192,10000000000,0.004847180306583978,0.00013859851566041745,0.004845198383553791,4.38481319358607,0.0423419136,-6774.397605788911,28456,1.3448499216227336,-0.21373318106865283,411918352.32659066,2883358.3004047554,48088.40985805094,7789.818947643638,44019823.92070432,51.63368651574008,2.705035265492556,718.0772821622463,0.7213274381775311,0.3389154151719644,853476586.0936556,-37.91548204017979,88039647.84140864,26.615608389058334,132059471.76211295,17.322244803224173,176079295.68281728,18.283250564306194,220099119.6035216,6.666836948635123
462,operation,True,1,0.23261332511901855,0.004855233570332709,10000000000,0.0048564460225425255,0.00010141207985916056,0.004855387065922526,4.376447315865105,0.0423419136,-6761.206705641744,28253,1.2579756691397135,-0.2212709532629002,402158391.3664346,2895267.0412095073,46216.934318666375,7882.496183562515,46919812.32075071,51.419159687891785,2.5791150560168714,662.0415098915889,0.5964141183087429,0.3383829250825425,853016587.9336482,-39.61448940380056,93839624.64150143,17.653152831264922,140759436.96225214,18.434522642362804,187679249.28300285,16.813875677930998,234599061.6037536,-2.5099724283235303
463,operation,True,1,0.43147802352905273,0.00485043630975524,10000000000,0.0048592023465998235,0.00015234174296302824,0.00485681371256426,4.373964828789699,0.0423419136,-6766.58060656934,29055,1.348423788405836,-0.2281657300731065,411718353.1265875,2895676.240330592,50770.181683788265,7884.716243388108,42639829.44068224,52.89847354911415,2.526828662795772,455.6599086218591,0.6369143364644934,0.3381545195654934,851016595.9336163,-38.8036377489537,85279658.88136448,16.596991229000466,127919488.32204671,25.562692011565424,170559317.76272896,11.874561910499164,213199147.2034112,-8.075925245423
